NAME,TABLE,TYPE,DOMAIN,VALUE,LABEL
MSA_AGG,household,character,"MSACAT %in% c('01','02','03')",1,Metropolitan
MSA_AGG,household,character,MSACAT %in% '04',2,Not metropolitan
PRMACT_AGG,person,character,PRMACT %in% '01',1,Working at a job or business
PRMACT_AGG,person,character,PRMACT %in% '04',2,Keeping house
PRMACT_AGG,person,character,PRMACT %in% '05',3,Going to school
PRMACT_AGG,person,character,"PRMACT %in% c('02','03','06','97')",4,Something Else (incl. unemployed)
WHYTRP90_AGG,trip,character,WHYTRP90 %in% '01',1,Work
WHYTRP90_AGG,trip,character,"WHYTRP90 %in% c('03','04','06')",2,Shop and Errands
WHYTRP90_AGG,trip,character,"WHYTRP90 %in% c('07','08','10')",3,Social/Rec
WHYTRP90_AGG,trip,character,"WHYTRP90 %in% c('02','05','11')",4,Other
AGE_GROUP,person,character,R_AGE >= 0 & R_AGE <= 17,1,Child
AGE_GROUP,person,character,R_AGE >= 18 & R_AGE <= 44,2,Young Adult
AGE_GROUP,person,character,R_AGE >= 45 & R_AGE <= 65,3,Middle Adult
AGE_GROUP,person,character,R_AGE >= 66,4,Older Adult
HAS_VEHICLE,household,character,HHVEHCNT > 0,1,Yes
HAS_VEHICLE,household,character,HHVEHCNT == 0,2,No
IS_METRO,household,character,"MSACAT %in% c('01','02','03')",1,Metropolitan Area
IS_METRO,household,character,MSACAT %in% c('04'),2,Not a Metropolitan Area
TRPMILES_AGG,trip,character,TRPMILES >= 0 & TRPMILES < 1,1,< 1 Mile
TRPMILES_AGG,trip,character,TRPMILES >= 1 & TRPMILES < 5,2,1 to 4 Miles
TRPMILES_AGG,trip,character,TRPMILES >= 5 & TRPMILES < 10,3,5 to 10 Miles
TRPMILES_AGG,trip,character,TRPMILES >= 10 & TRPMILES < 60,4,> 10 Miles
HHFAMINC_AGG,household,character,"HHFAMINC %in% c('01','02')",1,"Less than $15,000"
HHFAMINC_AGG,household,character,HHFAMINC %in% c('03'),2,"$15 to $24,999"
HHFAMINC_AGG,household,character,HHFAMINC %in% c('04'),3,"$25 to $34,999"
HHFAMINC_AGG,household,character,HHFAMINC %in% c('05'),4,"$35-49,999"
HHFAMINC_AGG,household,character,HHFAMINC %in% c('06'),5,"$50 to $74,999"
HHFAMINC_AGG,household,character,HHFAMINC %in% c('07'),6,"$75 to $99,999"
HHFAMINC_AGG,household,character,"HHFAMINC %in% c('08','09','10','11')",7,"$100,000 and over"
TRPTRANS_AGG,trip,character,"TRPTRANS %in% c('03','04','05','06','08','09','18')",1,POV
TRPTRANS_AGG,trip,character,"TRPTRANS %in% c('11','15','16')",2,Transit
TRPTRANS_AGG,trip,character,TRPTRANS %in% c('01'),3,Walk
TRPTRANS_AGG,trip,character,"!TRPTRANS %in% c('03','04','05','06','08','09','18','11','12','16','20','01')",4,Other
R_AGE_AGG,person,character,R_AGE >= 5 & R_AGE <= 15,1,5 to 15
R_AGE_AGG,person,character,R_AGE >= 16 & R_AGE <= 19,2,16 to 19
R_AGE_AGG,person,character,R_AGE >= 20 & R_AGE <= 34,3,20 to 34
R_AGE_AGG,person,character,R_AGE >= 35 & R_AGE <= 54,4,35 to 54
